epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,4193.49,1.1382,0.81319,1.18977,0.91443,0.86847,0.92289,0.61464,1.16485,0.75277,1.27976,0.0009308,0.0009308,0.0009308
83,4302.6,1.14414,0.80453,1.20197,0.94022,0.85695,0.92827,0.62354,1.15748,0.718,1.28338,0.0009176,0.0009176,0.0009176
84,4411.3,1.13187,0.79047,1.19004,0.93717,0.85356,0.9277,0.63964,1.0914,0.72402,1.23336,0.0009044,0.0009044,0.0009044
85,4520.14,nan,nan,nan,0.95982,0.87322,0.9313,0.63763,nan,nan,nan,0.0008912,0.0008912,0.0008912
86,4628.74,1.11151,0.7912,1.17791,0.94641,0.86576,0.93006,0.63267,nan,nan,nan,0.000878,0.000878,0.000878
87,4737.53,1.10869,0.78135,1.18078,0.93466,0.87322,0.93143,0.64488,nan,nan,nan,0.0008648,0.0008648,0.0008648
88,4846.67,1.07236,0.7316,1.15945,0.9407,0.87107,0.93153,0.63447,nan,nan,nan,0.0008516,0.0008516,0.0008516
89,4955.45,1.10494,0.76809,1.18131,0.92475,0.87932,0.93278,0.64734,nan,nan,nan,0.0008384,0.0008384,0.0008384
90,5064.62,1.07515,0.74085,1.15686,0.94817,0.87254,0.93724,0.66443,nan,nan,nan,0.0008252,0.0008252,0.0008252
91,5173.79,1.09462,0.77292,1.17754,0.94498,0.89665,0.93794,0.66967,nan,nan,nan,0.000812,0.000812,0.000812
92,5282.81,1.04691,0.70895,1.13933,0.95437,0.87119,0.93523,0.65185,nan,nan,nan,0.0007988,0.0007988,0.0007988
93,5391.64,1.05392,0.7308,1.14602,0.95166,0.86752,0.9366,0.65551,nan,nan,nan,0.0007856,0.0007856,0.0007856
94,5500.39,1.03064,0.70825,1.1376,0.95069,0.88542,0.93694,0.67038,nan,nan,nan,0.0007724,0.0007724,0.0007724
95,5609.32,1.02965,0.71609,1.13891,0.94651,0.88772,0.93989,0.67931,nan,nan,nan,0.0007592,0.0007592,0.0007592
96,5718.22,1.00621,0.6876,1.11902,0.95579,0.88542,0.94037,0.67999,nan,nan,nan,0.000746,0.000746,0.000746
97,5827.18,1.01301,0.69513,1.1243,0.95649,0.89433,0.94034,0.67774,nan,nan,nan,0.0007328,0.0007328,0.0007328
98,5935.95,1.01547,0.70049,1.12488,0.95285,0.8922,0.94179,0.68095,nan,nan,nan,0.0007196,0.0007196,0.0007196
99,6045.05,1.02755,0.6967,1.13132,0.96068,0.89153,0.94168,0.69405,nan,nan,nan,0.0007064,0.0007064,0.0007064
100,6153.89,0.9878,0.68359,1.11372,0.96303,0.88542,0.9415,0.67768,nan,nan,nan,0.0006932,0.0006932,0.0006932
101,6262.84,1.02822,0.71289,1.13525,0.95363,0.89228,0.94177,0.68498,nan,nan,nan,0.00068,0.00068,0.00068
102,6371.72,0.99609,0.69314,1.11081,0.96688,0.88881,0.94316,0.69561,nan,nan,nan,0.0006668,0.0006668,0.0006668
