epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,20327.8,1.10353,0.67653,1.13718,0.92971,0.87415,0.92613,0.57696,1.32984,0.68989,1.35825,0.0005348,0.0005348,0.0005348
76,20598.9,1.07564,0.6494,1.11629,0.92681,0.87839,0.92095,0.55685,1.39368,0.70642,1.40428,0.000515,0.000515,0.000515
77,20870,1.10796,0.67015,1.13908,0.92781,0.88135,0.93007,0.58005,1.32432,0.68446,1.36017,0.0004952,0.0004952,0.0004952
78,21141,1.0543,0.64134,1.11577,0.92887,0.87339,0.92875,0.58482,1.30095,0.66916,1.34957,0.0004754,0.0004754,0.0004754
79,21412.2,1.05629,0.6422,1.11208,0.92277,0.88666,0.9267,0.58753,1.30347,0.67795,1.34831,0.0004556,0.0004556,0.0004556
80,21683.3,1.05376,0.62673,1.11196,0.93346,0.87491,0.92877,0.61629,1.21748,0.65508,1.29997,0.0004358,0.0004358,0.0004358
81,21954.4,1.02657,0.62516,1.09919,0.92069,0.88017,0.92689,0.61235,1.21713,0.64614,1.30616,0.000416,0.000416,0.000416
82,22225.4,1.01915,0.61773,1.09512,0.9251,0.88552,0.92795,0.59412,1.29564,0.66714,1.34231,0.0003962,0.0003962,0.0003962
83,22496.4,1.01745,0.63004,1.09608,0.91819,0.89727,0.93364,0.61074,1.23052,0.64469,1.31377,0.0003764,0.0003764,0.0003764
84,22767.3,0.9833,0.59173,1.07755,0.93213,0.88324,0.93233,0.59047,1.31935,0.67435,1.36412,0.0003566,0.0003566,0.0003566
85,23038.2,0.98939,0.58786,1.0758,0.92293,0.88973,0.93225,0.61226,1.24058,0.65101,1.30959,0.0003368,0.0003368,0.0003368
86,23309.3,0.98106,0.59158,1.07534,0.93431,0.88324,0.93286,0.58247,1.35852,0.67717,1.37456,0.000317,0.000317,0.000317
87,23580.5,0.98094,0.59118,1.07223,0.92318,0.89121,0.93368,0.59547,1.30864,0.65836,1.34841,0.0002972,0.0002972,0.0002972
88,23851.6,0.95584,0.57997,1.06458,0.9358,0.87832,0.9307,0.59569,1.30346,0.65985,1.35088,0.0002774,0.0002774,0.0002774
89,24122.7,0.96358,0.58389,1.06697,0.92399,0.89861,0.93248,0.60722,1.2655,0.63865,1.32151,0.0002576,0.0002576,0.0002576
90,24393.8,0.95471,0.58873,1.06649,0.93609,0.87945,0.93266,0.60736,1.28212,0.65157,1.33084,0.0002378,0.0002378,0.0002378
91,24666.3,0.96251,0.56344,1.1233,0.93021,0.89429,0.93534,0.60809,1.27693,0.64389,1.32543,0.000218,0.000218,0.000218
92,24936.5,0.93093,0.5445,1.09668,0.93618,0.88964,0.9349,0.6139,1.26198,0.6377,1.31814,0.0001982,0.0001982,0.0001982
93,25206.8,0.91412,0.533,1.08893,0.9404,0.88893,0.93515,0.60344,1.29893,0.6449,1.33805,0.0001784,0.0001784,0.0001784
94,25477.2,0.89198,0.5199,1.08251,0.93413,0.89243,0.93503,0.6218,1.24163,0.63036,1.30454,0.0001586,0.0001586,0.0001586
95,25747.9,0.89024,0.52819,1.07984,0.93566,0.89727,0.93634,0.62401,1.23461,0.6294,1.30631,0.0001388,0.0001388,0.0001388
96,26018.5,0.87479,0.51977,1.0715,0.93665,0.89113,0.93615,0.59834,1.33446,0.65749,1.35556,0.000119,0.000119,0.000119
97,26289,0.86543,0.51448,1.06502,0.9407,0.89689,0.93833,0.61847,1.26081,0.63306,1.31776,9.92e-05,9.92e-05,9.92e-05
98,26559.5,0.84194,0.49909,1.05339,0.94358,0.88855,0.93641,0.62285,1.24801,0.63031,1.31555,7.94e-05,7.94e-05,7.94e-05
99,276.418,0.9197,0.58426,1.04193,0.94281,0.8859,0.93865,0.62302,1.24223,0.63318,1.31209,5.96e-05,5.96e-05,5.96e-05
100,549.236,0.89788,0.55602,1.03692,0.94469,0.88817,0.93745,0.63312,1.2134,0.62608,1.28854,3.98e-05,3.98e-05,3.98e-05
